STANDARD_NUMBER_DESCRIPTION,2014.0,2015.0,2016.0,2017.0,of_interest
747.901(2) - Personnel Records- Meets Requirements,1,5,20,16,False
746.3411(1)(C) - Disinfecting Solution Made Daily,0,9,42,16,False
746.3417(4) - Children Handwashing After Outdoor Activities,0,2,18,16,False
"748.2551(c)(1) - EBI Implementation-Caregiver must minimize risk of physical discomfort, harm, or pain to the child",0,3,23,16,False
746.1107(3) - Additional Minimum Qualifications for Caregivers - 8 hours Preservice Training,0,4,25,16,False
746.307(a)(1) - Parental Communication - Treatment by Health Personnel,0,7,24,17,False
746.5607(a) - Child Passenger Safety Seat System - Must Use for Each Child in When Transporting and be Properly Installed,0,0,0,17,False
748.303(a)(2)(A) - Serious Incident-Report to Licensing no later than 24 hours after injury/illness that warrants treatment by a medical professional or hospitalization,0,3,18,17,False
747.501(3) - Written Operational Policies -Medication,2,9,19,17,False
747.503 - Provide Parents With Copy of Policies,5,15,35,17,False
746.1013(a)(3) - Director's Absence -  Caregiver in Charge Has Access to All Records,0,1,13,17,False
745.625(a)(5) - Initial background checks submitted - At the time a non-client resident 14 or older moves into your home or operation,0,12,20,17,False
746.4601(3) - Safety Requirements for Active Play Equipment - No Entrapment Openings,0,8,30,17,False
"746.4001 - First Aid Kit - Available in Each Building, on Field Trips, during Transportation",0,1,9,17,False
746.5607(b) - Safety Seat System - Be Properly Installed,0,3,23,17,False
744.1301(3) - Training Requirements for Employees - Annual Training for Caregivers & Site Directors,0,3,18,17,False
744.605(13) - Required Admission Information-Special Care Needs Statement,0,0,3,17,False
747.1107(5) - Primary Caregiver in Licensed Home Qualifications - CPR/First Aid,0,0,0,17,False
748.3421(3) - Poisons-Ensure poisonous or flammable materials are inaccessible to children unless child has been evaluated as capable & likely to use responsibly,0,1,24,17,False
"746.1613(a) - Reduction of child/caregiver naptime ratio by 50% allowed, If 13 or more children in care, children are 18 mo. or older and other standards met",0,5,29,17,False
746.4805(a) - Measurement of Use Zone for Slides - in Front of Access and on Sides,0,7,61,17,False
746.1201(2) - Responsibilities of Employees and Caregivers -Relate to Children,0,6,26,17,True
"747.3801 - First Aid Kit - Available in the Home, on Field Trips",2,8,13,17,False
744.901(2) - Required Personnel Records- Meets Requirements,0,2,26,17,False
747.501(13) - Written Operational Policies - Vaccine Preventable Diseases,0,0,0,18,False
747.5007(3) - Emergency Evacuation and Relocation Diagram - Designated Location,8,12,18,18,False
"749.2593(a)(3) - Supervision-The caregiver is responsible for ensuring each child's safety and well being, including auditory and/or visual awareness of the child",0,2,27,18,False
746.501(a)(24) - Written Operational Policies- Breastfeeding Provisions,0,0,0,18,False
"746.3407(10) - Center Heated, Lighted and Ventilated Properly",0,1,24,18,False
744.3559(4) - Documentation of Drills,0,0,9,18,False
747.613(a) - Required Immunizations,0,0,0,18,False
746.1013(c) - Director's Absence -  Employees Know Who Is in Charge,0,1,17,18,False
747.5015 - Emergency Lighting,4,14,16,18,False
746.801(18) - Required Records Maintained and Made Available-Children's Product Certification,0,0,0,18,False
744.303(5) - Report Change in Director,0,10,44,18,False
747.501(10) - Written Operational Policies- Instructions for Contacting DFPS,0,0,0,18,False
746.1003(4) - Director Responsibilities - Employees Supervised,0,7,30,18,False
746.305(a)(1) - Report Unsafe Facility Occurrence,0,4,19,18,False
747.501(8) - Written Operational Policies - Procedures for Parental Visits,0,0,0,18,False
"744.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",0,12,32,18,False
744.3113(b) - Maintenance Procedures for Active Play - Monthly Maintenance Checklist,0,1,12,18,False
"748.151(3) - Operational responsibilities - Maintain current, true, accurate, and complete records",0,0,0,18,False
746.3419 - Handwashing Procedures,0,5,32,18,False
746.2205(a)(9) - Written Activity Plan - No Long Waiting Periods,0,5,17,18,False
747.909(1) - Records for Primary Caregiver - Affidavit,1,25,28,18,False
746.5319 - Smoke Detectors Testing,0,3,20,19,False
747.501(9) - Written Operational Policies - Procedures for Parents Review Licensing Rules and Reports,0,0,0,19,False
744.901 - Required Personnel Records,0,2,11,19,False
746.1329(a) - Documentation of Training Requirements - Original Training Certification Card or Letter in each Employee's personnel record,0,6,23,19,False
746.1613(a)(5) - Naptime Child/Caregiver Ratio - Additional Employees Required,0,2,22,19,False
746.3415(7) - Employee Handwashing After Handling or Cleaning Body Fluids,0,7,50,19,False
746.3403 - Documentation of Annual Sanitation Inspection,0,3,26,19,False
747.1309(e) - Primary Caregiver Annual Training - Required Special Topics without specific hours,0,0,2,19,False
746.5617(a)(3) - Required Equipment in Vehicles - Information About Facility,0,5,18,19,False
"748.2151(d) - Medication Record-must include accurate daily count of each prescribed medication, unless operate on a cottage home model",0,0,0,19,False
"747.3203(9) - Floors, Ceilings and Walls in Good Repair and Clean",1,10,23,19,False
745.625(a)(1) - Initial background checks submitted - At the time you submit your application,4,10,15,19,False
746.401(4) - Posting Requirements - Emergency and evacuation relocation diagram,0,0,4,19,False
746.801(26) - Required Records Maintained and Made Available - Vehicles,0,1,5,20,False
746.1316(b) - Transportation Safety Training - Complete Before Transporting Children,0,0,0,20,False
745.625(a)(7) - Initial background checks submitted - At the time you become aware of anyone requiring a background check under 745.615,0,8,34,20,False
746.1011 - Director Presence Routine During Operating Hours,0,12,36,20,False
747.501(7) - Written Operational Policies - Procedures for Parental Visits,7,25,31,20,False
746.3317(6) - Food Service and Preparation Requirement - Use Sanitary Holders,0,16,31,20,False
746.2907(a) - Alternate Activity for Non-sleeping Children,0,7,23,20,False
748.685(a)(5) - Caregiver responsibility - being able to intervene when necessary to ensure child's safety,0,7,19,20,False
744.3553(5) - Emergency Preparedness Plan-Reunification Plan,0,0,0,20,False
"747.4303(a)(2) - Individual Cot, Bed, or Mat for Each Walking Child Through 4 Years",7,47,69,20,False
747.2315(a)(1) - Prohibited Equipment for Infants - Baby Walkers,0,0,0,20,False
"746.2805(2) - Prohibited Punishments -  Associated with Food, Naps, or Toilet Training",0,6,29,20,False
746.501(a)(12) - Written Operational Policies - Vision and Hearing Screening,0,0,0,20,False
746.3317 - Food Service and Preparation Requirement - Safe and Sanitary,0,9,25,20,False
745.509 - Licensed Operations Required Fees,0,8,34,20,False
744.3501(a) - Annual Fire Inspection - Before Initial Permit Issued and Every 12 Months,0,4,28,20,False
747.3113(1) - Maintain Menus,10,14,29,21,False
744.801(2) - Required Records Maintained and Made Available - Personnel and Training Records,0,1,18,21,False
746.1613(a)(6) - Naptime Child/Caregiver Ratio - Caregivers Physically Present,0,4,10,21,False
746.401(10) - Required Postings-Child's Food Allergies,0,0,2,21,False
746.109 - Operating in compliance with MS Rules,0,3,28,21,False
747.2307 - Infant Care Area Furnishings and Equipment -Use of Safety Straps,2,19,38,21,False
744.2501(a) - Annual Sanitation Inspection,0,6,18,21,False
746.1301(2) - Training Requirements for Employees and Caregivers - Pre-service Training,0,0,0,21,False
747.5003(2) - Emergency Preparedness Plan - Communication Procedures,7,18,19,21,False
746.503 - Provide Parents With Copy of Policies,0,11,23,21,False
746.901(9) - Required Personnel Records- Current Driver's License,0,9,33,21,False
"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",0,8,42,21,True
"748.2307(8) - Other Prohibited Punishments-humiliating, shaming, ridiculing, rejecting, or yelling at a child",0,5,14,21,False
748.685(a)(3) - Caregiver responsibility - being aware of and accountable for each child's on-going activity,0,14,56,21,False
"746.613(b) - Immunization Records, Exceptions, and Exemptions Current",0,0,0,21,False
746.1311(g) - Director Annual Training - Less than 5 years experience,0,0,2,21,False
746.2419(7) - Requirements for Feeding Infants - No Walking or Sleeping with Bottle or Cup,0,18,56,22,False
"747.1207(2) - Minimum Qualifications for Assistant Caregiver - HS Diploma, Equivalent, or Coursework Completion",3,11,18,22,False
747.5007(1) - Emergency Evacuation and Relocation Diagram - Floor Plan,3,7,27,22,False
744.501(23) - Written Operational Policies - Vaccine Preventable Diseases,0,6,31,22,False
746.4003(b) - First Aid Kit - Supplies Not Expired,0,5,35,22,False
747.3935(c) - Children's Products- Posting of CPSC website,5,15,16,22,False
746.801(7) - Required Records Maintained and Made Available - Liability Insurance,0,14,46,22,False
746.801(13) - Required Records Maintained and Made Available - Fire Safety Documentation,0,12,33,22,False
746.5605(3) - Safety Precautions for Loading and Unloading Children - Account for All Children,0,10,33,22,False
747.5113 - Installation of Smoke Detectors,5,23,33,22,False
746.501(2) - Written Operational Policies -Release of Children,0,2,9,22,False
744.401(2) - Posting Requirements- Letter or form from the most recent licensing inspection or investigation.,0,0,6,23,False
746.301(2) - Notification of Change in Space,0,8,37,23,False
746.801(6) - Required Records Maintained and Made Available - Liability Insurance,0,0,0,23,False
744.1315(a) - One Caregiver per Group of Children Must Have Current Training in First Aid with Rescue Breathing and Choking.  Pediatric First Aid is Preferred,0,3,27,23,False
747.401(a)(5) - Posting Requirements-List of Employees,0,0,5,23,False
746.2419(8) - Requirements for Feeding Infants - Other Use of Handwashing Sink,0,15,67,23,False
746.5311(a) - Smoke-Detection System,0,7,39,23,False
"748.2551(a) - EBI Implementation-Must be an appropriate response to the behavior demonstrated, and de-escalation must have failed",0,4,25,23,False
746.1045 - Education Outside of U.S.,0,1,10,23,False
746.2909(5) - Arrangement of Napping Equipment -All Children Supervised,0,4,22,23,False
747.5011(c) - No Blocked or Locked Doors as Exits,4,23,18,23,False
747.501(12) - Written Operational Policies - Vaccine Preventable Diseases,8,31,23,23,False
746.1301(1) - Training Requirements for Employees and Caregivers - Orientation,0,0,0,24,False
747.1209 - Minimum Qualifications for Substitute Caregiver,5,24,31,24,False
746.3701(8) - Safety - Bodies of Water Inaccessible to Children,0,3,38,24,False
746.2427 - AP Infants Sleep on Backs,0,0,13,24,False
746.619(a) - Immunization Record Upon Admission,0,4,30,24,False
745.625(a)(2) - Initial background checks submitted - At the time you hire someone,0,10,53,24,False
747.4305 - Storage for Individual Belongings,1,22,20,24,False
746.1301(b)(1) - Training Requirements for Employees - 8 Hours of Pre-Service Before Responsible for a Group of Children,0,12,45,24,False
744.3553(4) - Emergency Preparedness Plan-Continuity of Care until Children Released,0,0,0,24,False
747.4205 - Supply Soap and Individual Towels,9,21,14,24,False
747.1207(6) - Minimum Qualifications for Assistant Caregiver - Affidavit,3,11,22,24,False
747.501(6) - Written Operational Policies - Animals,13,33,50,24,False
"749.607(1) - Employee and caregiver responsibilities-Competency, prudent judgment, self-control in presence of children and when performing assigned tasks",0,9,37,24,False
746.5307(a) - Inspect Fire Extinguishers Monthly,0,8,33,24,False
747.1107(a)(4) - Primary Caregiver in Licensed Home Qualifications - CPR/First Aid,1,3,26,24,False
747.801(14) - Records Maintained and Made Available - Children's Product Certification,10,14,20,24,False
744.605(7) - Required Admission Information- Release Information,0,0,14,25,False
746.4135(a) - Children's Products- Review list and Remove unsafe products,0,7,45,25,False
747.401(a)(4) - Posting Requirements-Telephone Numbers,0,0,11,25,False
747.1403 - Orientation for Household Members- Required,0,0,1,25,False
HRC42.054 - Required Fees,1,9,46,25,False
746.1013(a) - Director's Absence - Qualified Caregiver in Charge,0,6,44,25,False
747.1007(7) - Primary Caregiver in a Registered Home Qualifications-Proof of Training in Required Topics (A-J),0,0,0,25,False
746.403(b) - Posting Requirements - Child's Food Allergy Plans,0,0,1,25,False
746.2805(1) - Prohibited Punishments - Corporal Punishment,0,2,35,25,False
747.401(a)(1) - Posting Requirements-License,0,0,6,25,False
747.1207(3) - Minimum Qualifications for Assistant Caregiver - Orientation,3,8,9,25,False
746.603(a)(1) - Children's Records - Enrollment Agreement,0,6,18,25,False
747.2305(1) - Infant Care Area Furnishings and Equipment -Non-walking,2,25,23,25,False
746.801(25) - Required Records Maintained and Made Available - Cribs,0,2,7,25,False
746.501(10) - Written Operational Policies -TB,0,4,17,26,False
746.605(8) - Required Admission Information - Transportation Permission,0,8,32,26,False
747.801(7) - Records Maintained and Made Available - Pet Vaccinations,5,26,35,26,False
746.1613(a)(4) - Naptime Child/Caregiver Ratio - Additional Employee Required,0,9,33,26,False
746.1203(11) - Responsibilities of Caregivers - Share Information with Incoming Caregiver,0,9,31,26,False
747.801(7) - Records Maintained and Made Available - Safety Drills Documentation,0,0,0,26,False
744.901(4) - Required Personnel Records - Required Affidavit,0,8,31,26,False
746.1303(b)(1) - Orientation-Administering medication,0,0,0,26,False
"747.4303(a) - Individual Cot, Bed, or Mat for Each Walking Child Through 4 Years of Age",0,0,0,26,False
